SUAL,15542000
BANNA (ESPIRITU),12811000
DOLORES,140107000
MALAY,60412000
ASUNCION (SAUG),112301000
TANZA,42120000
CALANOGAS,153632000
SAN VICENTE,84821000
CITY OF PARAÑAQUE,137604000
DATU SALIBO,153836000
CAVITE CITY,42105000
MARABUT,86010000
ALFONSO,42101000
ABRA DE ILOG,175101000
MANOLO FORTICH,101314000
MALAPATAN,128006000
BATAD,63009000
BATAN,60404000
SABLAN,141112000
DATU BLAH T. SINSUAT,153830000
AMADEO,42102000
BINDOY (PAYABON),74607000
MANABO,140116000
ALORAN,104201000
NAGTIPUNAN,25706000
BALINGASAG,104302000
BAGANGA,112501000
NEW BATAAN,118210000
LAKE SEBU,126319000
DIMIAO,71220000
BAMBAN,36902000
SAN JACINTO,54119000
CITY OF CARCAR,72214000
KABACAN,124703000
SANTA IGNACIA,36915000
ASIPULO,142711000
PIAT,21520000
BIRI,84802000
SITANGKAI,157005000
MALLIG,23119000
MACARTHUR,83730000
KASIBU,25009000
PONTEVEDRA,64521000
KABUNTALAN (TUMBAO),153814000
LINGIG,166812000
CITY OF DASMARIÑAS,42106000
LUNA,148105000
T'BOLI,126316000
MEXICO,35413000
CARAGA,112504000
CARLES,63014000
LEON,63028000
BINIDAYAN,153605000
TERNATE,42121000
CALUYA,60605000
MOBO,54113000
LIBONA,101311000
UMINGAN,15544000
MAIMBUNG,156605000
PEÑABLANCA,21519000
CAMALANIUGAN,21510000
BILIRAN,87802000
GOVERNOR GENEROSO,112506000
PAGSANJAN,43419000
SAN REMIGIO,72243000
ROXAS,175318000
BAKUN,141103000
GUINSILIBAN,101802000
CORCUERA,175906000
HADJI PANGLIMA TAHIL (MARUNGGAS),156606000
CUARTERO,61901000
SAGBAYAN (BORJA),71236000
SANTOL,13318000
MANSALAY,175207000
DUERO,71221000
BACOLOD,103501000
CAPUL,84804000
HILONGOS,83719000
BACOLOR,35404000
MALINAO,60413000
CITY OF MALAYBALAY (Capital),101312000
AMPATUAN,153801000
MALUSO,150704000
KIAMBA,128003000
TARAKA,153627000
MAMBURAO (Capital),175106000
CITY OF VALENCIA,101321000
SAN JOAQUIN,63040000
POONA BAYABAO (GATA),153622000
LUGAIT,104316000
ALFONSO CASTANEDA,25015000
GENERAL TINIO (PAPAYA),34910000
SAN ANDRES,175912000
TAMPILISAN,97221000
PILI (Capital),51728000
DAGUIOMAN,140105000
BALABAC,175304000
NUEVA VALENCIA,67903000
PALUAN,175107000
MANGUDADATU,153832000
CITY OF MASBATE (Capital),54111000
GUIUAN,82609000
PIO V. CORPUZ (LIMBUHAN),54116000
PARACELIS,144406000
BASILISA (RIZAL),168501000
ITBAYAT,20902000
CITY OF GUIHULNGAN,74611000
BULUSAN,56204000
PATNANUNGAN,45632000
PASACAO,51727000
GENERAL MAMERTO NATIVIDAD,34909000
CITY OF ESCALANTE,64509000
SILANG,42118000
TIBIAO,60617000
BASEY,86002000
ALLACAPAN,21503000
NEW CORELLA,112314000
GENERAL TRIAS,42108000
GODOD,97225000
SAN LUIS,160309000
SALVADOR BENEDICTO,64532000
BALASAN,63005000
GUBAT,56208000
VINTAR,12823000
TINAMBAC,51737000
SUDIPEN,13319000
SANTO TOMAS,112318000
PLACER,166717000
LORETO,168505000
GASAN,174003000
CABIAO,34904000
AMBAGUIO,25001000
AGLIPAY,25701000
TALISAYAN,104325000
CADIZ CITY,64504000
TAYTAY,175320000
PANTAO RAGAT,103516000
LAAK (SAN VICENTE),118202000
CALACA,41007000
LINAPACAN,175313000
MARIHATAG,166814000
SAN JOSE (Capital),168506000
PALIMBANG,126509000
LEGANES,63026000
BACARRA,12802000
SAN PEDRO,43425000
PEÑARANDA,34921000
GUIPOS,97343000
LICAB,34914000
TUY,41034000
ZAMBOANGA CITY,97332000
MALATE,133910000
PANGANIBAN (PAYO),52007000
DIMASALANG,54108000
VALLADOLID,64530000
SAN ANTONIO,84817000
KATIPUNAN,97203000
GITAGUM,104309000
TARRAGONA,112511000
CANAMAN,51710000
BABATNGON,83705000
MATALOM,83734000
LEGAZPI CITY (Capital),50506000
BACUNGAN (Leon T. Postigo),97226000
ATIMONAN,45603000
PURA,36911000
GINGOOG CITY,104308000
SULTAN NAGA DIMAPORO (KAROMATAN),103506000
ANINI-Y,60601000
LIBUNGAN,124705000
GANASSI,153609000
CARMONA,42104000
NORALA,126311000
MARAWI CITY (Capital),153617000
MINALABAC,51722000
MANITO,50511000
SANTA MAGDALENA,56215000
INTRAMUROS,133909000
MURCIA,64520000
BONTOC,86402000
CITY OF ALAMINOS,15503000
ANTIPAS,124715000
BAGULIN,13304000
DINALUPIHAN,30804000
APALIT,35402000
CITY OF MALABON,137502000
SUMILAO,101319000
LEMERY,63027000
ALILEM,12901000
TANUDAN,143214000
BALINGOAN,104303000
DINAS,97306000
CABUYAO CITY,43404000
PANGLAO,71233000
HERMOSA,30805000
SIBUTU,157011000
IGBARAS,63021000
VALENCIA (LUZURRIAGA),74623000
MANDAUE CITY,72230000
CITY OF SANTA ROSA,43428000
CAOAYAN,12907000
PANDI,31415000
CANDABA,35405000
ANAO,36901000
CAGAYANCILLO,175308000
BANTAYAN,72209000
BANSALAN,112401000
MIDSAYAP,124709000
JABONGA,160205000
OPOL,104321000
DANAO,71218000
LEBAK,126506000
AMLAN (AYUQUITAN),74601000
TALUGTUG,34931000
PIO DURAN,50513000
DATU ABDULLAH SANGKI,153828000
CAIBIRAN,87804000
BAGGAO,21506000
JOLO (Capital),156602000
SAN JUAN (CABALIAN),86414000
MAPANAS,84812000
SAN LORENZO RUIZ (IMELDA),51604000
AGNO,15501000
MENDEZ (MENDEZ-NUÑEZ),42114000
BANGAR,13306000
PANDAMI,156618000
DEL CARMEN,166708000
LAZI,76103000
LEYTE,83729000
GINATILAN,72225000
MAYOYAO,142706000
CITY OF PANABO,112315000
SAMAL,30812000
JAGNA,71225000
DAUIS,71219000
TALAVERA,34930000
TIAONG,45648000
GUTALAC,97223000
DAUIN,74609000
BULA,51706000
IBAJAY,60406000
SARANGANI,112415000
MAHINOG,101803000
ABULUG,21501000
GIGAQUIT,166711000
KAPALONG,112305000
GUIMBAL,63020000
LAMBUNAO,63025000
BAGO CITY,64502000
MALALAG,112408000
BURDEOS,45606000
TAGUDIN,12933000
TRENTO,160312000
TABOGON,72248000
SIGAY,12929000
DARAM,86006000
GUINDULUNGAN,153825000
CALBIGA,86004000
DANAO CITY,72223000
PADRE BURGOS,86410000
SALUG,97213000
SAN SEBASTIAN,86015000
CITY OF BIÑAN,43403000
ORION,30810000
MATAG-OB,83733000
CALAPE,71210000
NOVELETA,42116000
BACNOTAN,13303000
CAJIDIOCAN,175903000
LAGANGILANG,140110000
LABANGAN,97312000
LLANERA,34915000
ADAMS,12801000
JAMINDAN,61906000
ANGELES CITY,35401000
PULUPANDAN,64522000
ALBUERA,83703000
POLILLO,45636000
INDANG,42110000
ILOILO CITY (Capital),63022000
TUDELA,104216000
CONCEPCION,104206000
GUIMBA,34911000
MADAMBA,153614000
ROXAS CITY (Capital),61914000
SINILOAN,43429000
LUBUAGAN,143206000
MALABANG,153615000
SAN JULIAN,82620000
CARASI,12807000
ORMOC CITY,83738000
PUGO,13312000
CABATUAN,63012000
CITY OF PASSI,63035000
AGOO,13301000
CATIGBIAN,71213000
TANDUBAS,157007000
JOSEFINA,97337000
CITY OF CANDON,12906000
TAGBINA,166817000
ENRIQUE B. MAGALONA (SARAVIA),64508000
LAUA-AN,60609000
SAGUIARAN,153625000
SAN QUINTIN,140123000
JOSE ABAD SANTOS (TRINIDAD),112405000
SAN JOSE DE BUAN,86014000
SURALLAH,126313000
TADIAN,144410000
DALAGUETE,72222000
SUMISIP,150705000
KALAMANSIG,126505000
DATU ODIN SINSUAT (DINAIG),153807000
MONTEVISTA,118208000
LABASON,97205000
DAPITAN CITY,97201000
LOPEZ JAENA,104208000
GAMU,23113000
AGDANGAN,45601000
BULUAN,153803000
CLAVERIA,104306000
RIZAL (LIWAN),143211000
KIANGAN,142703000
USON,54121000
CALBAYOG CITY,86003000
PALAYAN CITY (Capital),34919000
MOLAVE,97319000
MARIVELES,30807000
MANAOAG,15525000
SIBALOM,60616000
